"";"Region";"aldersgruppe";"value"
"312";"1151";"75 og eldre";20
"313";"1160";"0-15";1749
"314";"1160";"16-24";960
"315";"1160";"25-34";1045
"316";"1160";"35-44";1155
"317";"1160";"45-54";1120
"318";"1160";"55-64";1139
"319";"1160";"65-74";971
"320";"1160";"75 og eldre";799
"321";"1505";"0-15";3907
"322";"1505";"16-24";2624
"323";"1505";"25-34";2939
"324";"1505";"35-44";3170
"325";"1505";"45-54";3224
"326";"1505";"55-64";3124
"327";"1505";"65-74";2982
"328";"1505";"75 og eldre";2434
"329";"1506";"0-15";5711
"330";"1506";"16-24";3567
"331";"1506";"25-34";4018
"332";"1506";"35-44";4204
"333";"1506";"45-54";4008
"334";"1506";"55-64";4175
"335";"1506";"65-74";3742
"336";"1506";"75 og eldre";3391
"337";"1508";"0-15";10501
"338";"1508";"16-24";6682
"339";"1508";"25-34";8102
"340";"1508";"35-44";7953
"341";"1508";"45-54";7652
"342";"1508";"55-64";6901
"343";"1508";"65-74";5795
"344";"1508";"75 og eldre";4923
"345";"1511";"0-15";419
"346";"1511";"16-24";267
"347";"1511";"25-34";291
"348";"1511";"35-44";292
"349";"1511";"45-54";365
"350";"1511";"55-64";463
"351";"1511";"65-74";491
"352";"1511";"75 og eldre";438
"353";"1514";"0-15";393
"354";"1514";"16-24";234
"355";"1514";"25-34";214
"356";"1514";"35-44";286
"357";"1514";"45-54";357
"358";"1514";"55-64";352
"359";"1514";"65-74";313
"360";"1514";"75 og eldre";289
"361";"1515";"0-15";1614
"362";"1515";"16-24";951
"363";"1515";"25-34";926
"364";"1515";"35-44";1110
"365";"1515";"45-54";1256
"366";"1515";"55-64";1188
"367";"1515";"65-74";1022
"368";"1515";"75 og eldre";901
"369";"1516";"0-15";1706
"370";"1516";"16-24";1026
"371";"1516";"25-34";998
"372";"1516";"35-44";1137
"373";"1516";"45-54";1295
"374";"1516";"55-64";1074
"375";"1516";"65-74";855
"376";"1516";"75 og eldre";770
"377";"1517";"0-15";1068
"378";"1517";"16-24";521
"379";"1517";"25-34";617
"380";"1517";"35-44";731
"381";"1517";"45-54";692
"382";"1517";"55-64";646
"383";"1517";"65-74";593
"384";"1517";"75 og eldre";454
"385";"1520";"0-15";2089
"386";"1520";"16-24";1181
