"";"Region";"aldersgruppe";"value"
"1832";"4201";"75 og eldre";838
"1833";"4202";"0-15";4714
"1834";"4202";"16-24";3102
"1835";"4202";"25-34";3442
"1836";"4202";"35-44";3131
"1837";"4202";"45-54";3294
"1838";"4202";"55-64";2895
"1839";"4202";"65-74";2298
"1840";"4202";"75 og eldre";2093
"1841";"4203";"0-15";8028
"1842";"4203";"16-24";4790
"1843";"4203";"25-34";5229
"1844";"4203";"35-44";5953
"1845";"4203";"45-54";6510
"1846";"4203";"55-64";6055
"1847";"4203";"65-74";5342
"1848";"4203";"75 og eldre";4448
"1849";"4204";"0-15";21803
"1850";"4204";"16-24";14773
"1851";"4204";"25-34";16534
"1852";"4204";"35-44";15509
"1853";"4204";"45-54";14936
"1854";"4204";"55-64";13790
"1855";"4204";"65-74";10554
"1856";"4204";"75 og eldre";9087
"1857";"4205";"0-15";4371
"1858";"4205";"16-24";2638
"1859";"4205";"25-34";2671
"1860";"4205";"35-44";2904
"1861";"4205";"45-54";3133
"1862";"4205";"55-64";3045
"1863";"4205";"65-74";2709
"1864";"4205";"75 og eldre";2219
"1865";"4206";"0-15";1776
"1866";"4206";"16-24";1062
"1867";"4206";"25-34";1088
"1868";"4206";"35-44";1157
"1869";"4206";"45-54";1327
"1870";"4206";"55-64";1247
"1871";"4206";"65-74";1153
"1872";"4206";"75 og eldre";1066
"1873";"4207";"0-15";1733
"1874";"4207";"16-24";957
"1875";"4207";"25-34";1052
"1876";"4207";"35-44";1119
"1877";"4207";"45-54";1164
"1878";"4207";"55-64";1228
"1879";"4207";"65-74";1044
"1880";"4207";"75 og eldre";982
"1881";"4211";"0-15";354
"1882";"4211";"16-24";250
"1883";"4211";"25-34";258
"1884";"4211";"35-44";256
"1885";"4211";"45-54";388
"1886";"4211";"55-64";344
"1887";"4211";"65-74";321
"1888";"4211";"75 og eldre";273
"1889";"4212";"0-15";456
"1890";"4212";"16-24";228
"1891";"4212";"25-34";277
"1892";"4212";"35-44";265
"1893";"4212";"45-54";304
"1894";"4212";"55-64";326
"1895";"4212";"65-74";223
"1896";"4212";"75 og eldre";189
"1897";"4213";"0-15";1020
"1898";"4213";"16-24";633
"1899";"4213";"25-34";675
"1900";"4213";"35-44";746
"1901";"4213";"45-54";848
"1902";"4213";"55-64";867
"1903";"4213";"65-74";854
"1904";"4213";"75 og eldre";680
"1905";"4214";"0-15";1246
"1906";"4214";"16-24";645
"1907";"4214";"25-34";829
"1908";"4214";"35-44";816
"1909";"4214";"45-54";869
"1910";"4214";"55-64";744
"1911";"4214";"65-74";592
"1912";"4214";"75 og eldre";495
"1913";"4215";"0-15";2202
"1914";"4215";"16-24";1202
"1915";"4215";"25-34";1219
"1916";"4215";"35-44";1536
"1917";"4215";"45-54";1528
"1918";"4215";"55-64";1506
"1919";"4215";"65-74";1256
"1920";"4215";"75 og eldre";1074
"1921";"4216";"0-15";1154
"1922";"4216";"16-24";624
"1923";"4216";"25-34";727
"1924";"4216";"35-44";710
"1925";"4216";"45-54";724
"1926";"4216";"55-64";613
"1927";"4216";"65-74";480
"1928";"4216";"75 og eldre";448
"1929";"4217";"0-15";317
"1930";"4217";"16-24";162
"1931";"4217";"25-34";197
"1932";"4217";"35-44";191
"1933";"4217";"45-54";249
"1934";"4217";"55-64";258
"1935";"4217";"65-74";231
"1936";"4217";"75 og eldre";197
"1937";"4218";"0-15";309
"1938";"4218";"16-24";125
"1939";"4218";"25-34";169
"1940";"4218";"35-44";188
"1941";"4218";"45-54";179
"1942";"4218";"55-64";185
"1943";"4218";"65-74";138
"1944";"4218";"75 og eldre";87
"1945";"4219";"0-15";771
"1946";"4219";"16-24";416
"1947";"4219";"25-34";452
"1948";"4219";"35-44";546
"1949";"4219";"45-54";504
"1950";"4219";"55-64";465
"1951";"4219";"65-74";434
"1952";"4219";"75 og eldre";379
"1953";"4220";"0-15";180
"1954";"4220";"16-24";106
"1955";"4220";"25-34";122
"1956";"4220";"35-44";126
"1957";"4220";"45-54";189
"1958";"4220";"55-64";157
"1959";"4220";"65-74";182
"1960";"4220";"75 og eldre";118
"1961";"4221";"0-15";188
"1962";"4221";"16-24";135
"1963";"4221";"25-34";123
"1964";"4221";"35-44";140
"1965";"4221";"45-54";152
"1966";"4221";"55-64";145
"1967";"4221";"65-74";196
"1968";"4221";"75 og eldre";126
"1969";"4222";"0-15";154
"1970";"4222";"16-24";93
"1971";"4222";"25-34";125
"1972";"4222";"35-44";147
"1973";"4222";"45-54";160
"1974";"4222";"55-64";147
"1975";"4222";"65-74";111
"1976";"4222";"75 og eldre";74
"1977";"4223";"0-15";3042
"1978";"4223";"16-24";1664
"1979";"4223";"25-34";2207
"1980";"4223";"35-44";2119
"1981";"4223";"45-54";1986
"1982";"4223";"55-64";1859
"1983";"4223";"65-74";1378
"1984";"4223";"75 og eldre";1197
"1985";"4224";"0-15";168
"1986";"4224";"16-24";110
"1987";"4224";"25-34";104
"1988";"4224";"35-44";108
"1989";"4224";"45-54";108
"1990";"4224";"55-64";159
"1991";"4224";"65-74";86
"1992";"4224";"75 og eldre";80
"1993";"4225";"0-15";2243
"1994";"4225";"16-24";1318
"1995";"4225";"25-34";1283
"1996";"4225";"35-44";1402
"1997";"4225";"45-54";1403
"1998";"4225";"55-64";1189
"1999";"4225";"65-74";1069
"2000";"4225";"75 og eldre";928
"2001";"4226";"0-15";364
"2002";"4226";"16-24";189
"2003";"4226";"25-34";202
"2004";"4226";"35-44";230
"2005";"4226";"45-54";248
"2006";"4226";"55-64";207
"2007";"4226";"65-74";171
"2008";"4226";"75 og eldre";165
"2009";"4227";"0-15";1187
"2010";"4227";"16-24";634
"2011";"4227";"25-34";742
"2012";"4227";"35-44";736
"2013";"4227";"45-54";792
"2014";"4227";"55-64";845
"2015";"4227";"65-74";646
"2016";"4227";"75 og eldre";610
"2017";"4228";"0-15";360
"2018";"4228";"16-24";210
"2019";"4228";"25-34";227
"2020";"4228";"35-44";234
"2021";"4228";"45-54";234
"2022";"4228";"55-64";237
"2023";"4228";"65-74";186
"2024";"4228";"75 og eldre";185
"2025";"4601";"0-15";48956
"2026";"4601";"16-24";35245
"2027";"4601";"25-34";48297
"2028";"4601";"35-44";40456
"2029";"4601";"45-54";37168
"2030";"4601";"55-64";33497
"2031";"4601";"65-74";25044
"2032";"4601";"75 og eldre";23277
"2033";"4602";"0-15";3186
"2034";"4602";"16-24";1951
"2035";"4602";"25-34";1962
"2036";"4602";"35-44";2163
"2037";"4602";"45-54";2227
"2038";"4602";"55-64";2313
"2039";"4602";"65-74";1987
"2040";"4602";"75 og eldre";1560
"2041";"4611";"0-15";773
"2042";"4611";"16-24";413
"2043";"4611";"25-34";413
"2044";"4611";"35-44";491
"2045";"4611";"45-54";546
"2046";"4611";"55-64";508
"2047";"4611";"65-74";469
"2048";"4611";"75 og eldre";459
"2049";"4612";"0-15";1169
"2050";"4612";"16-24";600
"2051";"4612";"25-34";627
"2052";"4612";"35-44";771
"2053";"4612";"45-54";770
"2054";"4612";"55-64";654
"2055";"4612";"65-74";680
"2056";"4612";"75 og eldre";471
"2057";"4613";"0-15";2450
"2058";"4613";"16-24";1428
"2059";"4613";"25-34";1327
"2060";"4613";"35-44";1630
"2061";"4613";"45-54";1582
"2062";"4613";"55-64";1451
"2063";"4613";"65-74";1312
"2064";"4613";"75 og eldre";1088
"2065";"4614";"0-15";3827
"2066";"4614";"16-24";2126
"2067";"4614";"25-34";2366
"2068";"4614";"35-44";2517
"2069";"4614";"45-54";2562
"2070";"4614";"55-64";2360
"2071";"4614";"65-74";1838
"2072";"4614";"75 og eldre";1691
"2073";"4615";"0-15";612
"2074";"4615";"16-24";358
"2075";"4615";"25-34";319
"2076";"4615";"35-44";411
"2077";"4615";"45-54";432
"2078";"4615";"55-64";379
"2079";"4615";"65-74";418
"2080";"4615";"75 og eldre";274
"2081";"4616";"0-15";533
"2082";"4616";"16-24";231
"2083";"4616";"25-34";307
"2084";"4616";"35-44";351
"2085";"4616";"45-54";310
"2086";"4616";"55-64";384
"2087";"4616";"65-74";418
"2088";"4616";"75 og eldre";388
"2089";"4617";"0-15";2269
"2090";"4617";"16-24";1463
"2091";"4617";"25-34";1359
"2092";"4617";"35-44";1445
"2093";"4617";"45-54";1710
"2094";"4617";"55-64";1721
"2095";"4617";"65-74";1572
"2096";"4617";"75 og eldre";1550
"2097";"4618";"0-15";1784
"2098";"4618";"16-24";1099
"2099";"4618";"25-34";1178
"2100";"4618";"35-44";1250
"2101";"4618";"45-54";1386
"2102";"4618";"55-64";1563
"2103";"4618";"65-74";1352
"2104";"4618";"75 og eldre";1405
"2105";"4619";"0-15";165
"2106";"4619";"16-24";78
"2107";"4619";"25-34";113
"2108";"4619";"35-44";102
"2109";"4619";"45-54";117
"2110";"4619";"55-64";150
"2111";"4619";"65-74";134
"2112";"4619";"75 og eldre";109
"2113";"4620";"0-15";193
"2114";"4620";"16-24";101
"2115";"4620";"25-34";111
"2116";"4620";"35-44";122
"2117";"4620";"45-54";135
"2118";"4620";"55-64";150
"2119";"4620";"65-74";138
"2120";"4620";"75 og eldre";139
"2121";"4621";"0-15";3071
"2122";"4621";"16-24";1695
"2123";"4621";"25-34";1929
"2124";"4621";"35-44";2110
"2125";"4621";"45-54";1936
"2126";"4621";"55-64";2008
"2127";"4621";"65-74";1891
"2128";"4621";"75 og eldre";1831
"2129";"4622";"0-15";1556
"2130";"4622";"16-24";886
"2131";"4622";"25-34";852
"2132";"4622";"35-44";976
"2133";"4622";"45-54";1039
"2134";"4622";"55-64";1084
"2135";"4622";"65-74";1061
"2136";"4622";"75 og eldre";1042
"2137";"4623";"0-15";452
"2138";"4623";"16-24";238
"2139";"4623";"25-34";244
"2140";"4623";"35-44";312
"2141";"4623";"45-54";298
"2142";"4623";"55-64";355
"2143";"4623";"65-74";329
"2144";"4623";"75 og eldre";274
"2145";"4624";"0-15";5301
"2146";"4624";"16-24";2812
"2147";"4624";"25-34";3149
"2148";"4624";"35-44";3611
"2149";"4624";"45-54";3461
"2150";"4624";"55-64";2930
"2151";"4624";"65-74";2626
"2152";"4624";"75 og eldre";2190
"2153";"4625";"0-15";1147
"2154";"4625";"16-24";573
"2155";"4625";"25-34";581
"2156";"4625";"35-44";736
"2157";"4625";"45-54";630
"2158";"4625";"55-64";594
"2159";"4625";"65-74";577
"2160";"4625";"75 og eldre";462
"2161";"4626";"0-15";8093
"2162";"4626";"16-24";4442
"2163";"4626";"25-34";4829
"2164";"4626";"35-44";5364
"2165";"4626";"45-54";5522
"2166";"4626";"55-64";4876
"2167";"4626";"65-74";3759
"2168";"4626";"75 og eldre";2883
"2169";"4627";"0-15";6522
"2170";"4627";"16-24";3354
"2171";"4627";"25-34";3393
"2172";"4627";"35-44";4456
"2173";"4627";"45-54";4338
"2174";"4627";"55-64";3240
"2175";"4627";"65-74";2645
"2176";"4627";"75 og eldre";2197
"2177";"4628";"0-15";650
"2178";"4628";"16-24";394
"2179";"4628";"25-34";411
"2180";"4628";"35-44";486
"2181";"4628";"45-54";471
"2182";"4628";"55-64";516
"2183";"4628";"65-74";495
"2184";"4628";"75 og eldre";429
"2185";"4629";"0-15";76
"2186";"4629";"16-24";42
"2187";"4629";"25-34";33
"2188";"4629";"35-44";55
"2189";"4629";"45-54";44
"2190";"4629";"55-64";53
"2191";"4629";"65-74";39
"2192";"4629";"75 og eldre";42
"2193";"4630";"0-15";1558
"2194";"4630";"16-24";863
"2195";"4630";"25-34";958
"2196";"4630";"35-44";1041
"2197";"4630";"45-54";1082
"2198";"4630";"55-64";1001
"2199";"4630";"65-74";866
"2200";"4630";"75 og eldre";831
"2201";"4631";"0-15";5913
"2202";"4631";"16-24";3303
"2203";"4631";"25-34";3388
"2204";"4631";"35-44";3854
"2205";"4631";"45-54";4080
"2206";"4631";"55-64";3490
"2207";"4631";"65-74";3298
"2208";"4631";"75 og eldre";2660
"2209";"4632";"0-15";506
"2210";"4632";"16-24";286
"2211";"4632";"25-34";293
"2212";"4632";"35-44";338
"2213";"4632";"45-54";376
"2214";"4632";"55-64";379
"2215";"4632";"65-74";343
"2216";"4632";"75 og eldre";360
"2217";"4633";"0-15";91
"2218";"4633";"16-24";54
"2219";"4633";"25-34";35
"2220";"4633";"35-44";57
"2221";"4633";"45-54";52
"2222";"4633";"55-64";76
"2223";"4633";"65-74";86
"2224";"4633";"75 og eldre";68
"2225";"4634";"0-15";308
"2226";"4634";"16-24";159
"2227";"4634";"25-34";164
"2228";"4634";"35-44";189
"2229";"4634";"45-54";179
"2230";"4634";"55-64";240
"2231";"4634";"65-74";227
"2232";"4634";"75 og eldre";228
"2233";"4635";"0-15";342
"2234";"4635";"16-24";227
"2235";"4635";"25-34";255
"2236";"4635";"35-44";249
"2237";"4635";"45-54";272
"2238";"4635";"55-64";341
"2239";"4635";"65-74";270
"2240";"4635";"75 og eldre";278
"2241";"4636";"0-15";99
"2242";"4636";"16-24";74
"2243";"4636";"25-34";70
"2244";"4636";"35-44";78
"2245";"4636";"45-54";89
"2246";"4636";"55-64";120
"2247";"4636";"65-74";114
"2248";"4636";"75 og eldre";106
"2249";"4637";"0-15";162
"2250";"4637";"16-24";125
"2251";"4637";"25-34";94
"2252";"4637";"35-44";136
"2253";"4637";"45-54";187
"2254";"4637";"55-64";207
"2255";"4637";"65-74";160
"2256";"4637";"75 og eldre";197
"2257";"4638";"0-15";547
"2258";"4638";"16-24";436
"2259";"4638";"25-34";371
"2260";"4638";"35-44";378
"2261";"4638";"45-54";494
"2262";"4638";"55-64";637
"2263";"4638";"65-74";508
"2264";"4638";"75 og eldre";508
"2265";"4639";"0-15";418
"2266";"4639";"16-24";259
"2267";"4639";"25-34";245
"2268";"4639";"35-44";254
"2269";"4639";"45-54";318
"2270";"4639";"55-64";339
"2271";"4639";"65-74";356
"2272";"4639";"75 og eldre";362
"2273";"4640";"0-15";2328
"2274";"4640";"16-24";1464
"2275";"4640";"25-34";1816
"2276";"4640";"35-44";1608
"2277";"4640";"45-54";1396
"2278";"4640";"55-64";1402
"2279";"4640";"65-74";1170
"2280";"4640";"75 og eldre";1135
"2281";"4641";"0-15";271
"2282";"4641";"16-24";182
"2283";"4641";"25-34";255
"2284";"4641";"35-44";234
"2285";"4641";"45-54";211
"2286";"4641";"55-64";264
"2287";"4641";"65-74";197
"2288";"4641";"75 og eldre";186
"2289";"4642";"0-15";358
"2290";"4642";"16-24";213
"2291";"4642";"25-34";234
"2292";"4642";"35-44";226
"2293";"4642";"45-54";280
"2294";"4642";"55-64";313
"2295";"4642";"65-74";289
"2296";"4642";"75 og eldre";247
"2297";"4643";"0-15";822
"2298";"4643";"16-24";511
"2299";"4643";"25-34";584
"2300";"4643";"35-44";594
"2301";"4643";"45-54";650
"2302";"4643";"55-64";829
"2303";"4643";"65-74";609
"2304";"4643";"75 og eldre";640
"2305";"4644";"0-15";1022
"2306";"4644";"16-24";565
"2307";"4644";"25-34";578
"2308";"4644";"35-44";637
"2309";"4644";"45-54";647
"2310";"4644";"55-64";695
"2311";"4644";"65-74";623
"2312";"4644";"75 og eldre";604
"2313";"4645";"0-15";538
"2314";"4645";"16-24";295
"2315";"4645";"25-34";248
"2316";"4645";"35-44";335
"2317";"4645";"45-54";330
"2318";"4645";"55-64";421
"2319";"4645";"65-74";426
"2320";"4645";"75 og eldre";393
"2321";"4646";"0-15";515
"2322";"4646";"16-24";464
"2323";"4646";"25-34";289
"2324";"4646";"35-44";290
"2325";"4646";"45-54";311
"2326";"4646";"55-64";326
"2327";"4646";"65-74";332
"2328";"4646";"75 og eldre";342
"2329";"4647";"0-15";4376
"2330";"4647";"16-24";2693
"2331";"4647";"25-34";2854
"2332";"4647";"35-44";2820
"2333";"4647";"45-54";2859
"2334";"4647";"55-64";2673
"2335";"4647";"65-74";2325
"2336";"4647";"75 og eldre";1850
"2337";"4648";"0-15";499
"2338";"4648";"16-24";373
"2339";"4648";"25-34";308
"2340";"4648";"35-44";325
"2341";"4648";"45-54";460
"2342";"4648";"55-64";497
"2343";"4648";"65-74";436
"2344";"4648";"75 og eldre";494
"2345";"4649";"0-15";1779
"2346";"4649";"16-24";1045
"2347";"4649";"25-34";1080
"2348";"4649";"35-44";1090
"2349";"4649";"45-54";1170
"2350";"4649";"55-64";1254
"2351";"4649";"65-74";1163
"2352";"4649";"75 og eldre";1029
"2353";"4650";"0-15";1105
"2354";"4650";"16-24";695
"2355";"4650";"25-34";570
"2356";"4650";"35-44";676
"2357";"4650";"45-54";740
"2358";"4650";"55-64";741
"2359";"4650";"65-74";729
"2360";"4650";"75 og eldre";670
"2361";"4651";"0-15";1332
"2362";"4651";"16-24";814
"2363";"4651";"25-34";827
"2364";"4651";"35-44";886
"2365";"4651";"45-54";941
"2366";"4651";"55-64";969
"2367";"4651";"65-74";763
"2368";"4651";"75 og eldre";739
"2369";"5001";"0-15";35731
"2370";"5001";"16-24";28097
"2371";"5001";"25-34";38256
"2372";"5001";"35-44";29531
"2373";"5001";"45-54";26401
"2374";"5001";"55-64";23053
"2375";"5001";"65-74";18138
"2376";"5001";"75 og eldre";15358
"2377";"5006";"0-15";4127
"2378";"5006";"16-24";2489
"2379";"5006";"25-34";2804
"2380";"5006";"35-44";2669
"2381";"5006";"45-54";2927
"2382";"5006";"55-64";3306
"2383";"5006";"65-74";2949
"2384";"5006";"75 og eldre";2761
"2385";"5007";"0-15";2598
"2386";"5007";"16-24";1733
"2387";"5007";"25-34";1790
"2388";"5007";"35-44";1670
"2389";"5007";"45-54";1871
"2390";"5007";"55-64";2048
"2391";"5007";"65-74";1768
"2392";"5007";"75 og eldre";1605
"2393";"5014";"0-15";954
"2394";"5014";"16-24";498
"2395";"5014";"25-34";896
"2396";"5014";"35-44";793
"2397";"5014";"45-54";710
"2398";"5014";"55-64";657
"2399";"5014";"65-74";519
"2400";"5014";"75 og eldre";426
"2401";"5020";"0-15";128
"2402";"5020";"16-24";77
"2403";"5020";"25-34";84
"2404";"5020";"35-44";89
"2405";"5020";"45-54";100
"2406";"5020";"55-64";128
"2407";"5020";"65-74";148
"2408";"5020";"75 og eldre";144
"2409";"5021";"0-15";1385
"2410";"5021";"16-24";743
"2411";"5021";"25-34";825
"2412";"5021";"35-44";869
"2413";"5021";"45-54";928
"2414";"5021";"55-64";986
"2415";"5021";"65-74";836
"2416";"5021";"75 og eldre";817
"2417";"5022";"0-15";399
"2418";"5022";"16-24";241
"2419";"5022";"25-34";254
"2420";"5022";"35-44";222
"2421";"5022";"45-54";320
"2422";"5022";"55-64";363
"2423";"5022";"65-74";343
"2424";"5022";"75 og eldre";342
"2425";"5025";"0-15";879
"2426";"5025";"16-24";524
"2427";"5025";"25-34";633
"2428";"5025";"35-44";632
"2429";"5025";"45-54";706
"2430";"5025";"55-64";807
"2431";"5025";"65-74";807
"2432";"5025";"75 og eldre";697
"2433";"5026";"0-15";305
"2434";"5026";"16-24";188
"2435";"5026";"25-34";240
"2436";"5026";"35-44";188
"2437";"5026";"45-54";247
"2438";"5026";"55-64";294
"2439";"5026";"65-74";274
"2440";"5026";"75 og eldre";299
"2441";"5027";"0-15";1135
"2442";"5027";"16-24";599
"2443";"5027";"25-34";741
"2444";"5027";"35-44";749
"2445";"5027";"45-54";759
"2446";"5027";"55-64";850
"2447";"5027";"65-74";652
"2448";"5027";"75 og eldre";655
"2449";"5028";"0-15";3409
"2450";"5028";"16-24";1941
"2451";"5028";"25-34";2218
"2452";"5028";"35-44";2323
"2453";"5028";"45-54";2376
"2454";"5028";"55-64";2082
"2455";"5028";"65-74";1644
"2456";"5028";"75 og eldre";1567
"2457";"5029";"0-15";1865
"2458";"5029";"16-24";852
"2459";"5029";"25-34";1030
"2460";"5029";"35-44";1178
"2461";"5029";"45-54";1178
"2462";"5029";"55-64";1011
"2463";"5029";"65-74";752
"2464";"5029";"75 og eldre";618
"2465";"5031";"0-15";3099
"2466";"5031";"16-24";1595
"2467";"5031";"25-34";1679
"2468";"5031";"35-44";2167
"2469";"5031";"45-54";2159
"2470";"5031";"55-64";1817
"2471";"5031";"65-74";1212
"2472";"5031";"75 og eldre";1055
"2473";"5032";"0-15";695
"2474";"5032";"16-24";441
"2475";"5032";"25-34";427
"2476";"5032";"35-44";510
"2477";"5032";"45-54";545
"2478";"5032";"55-64";576
"2479";"5032";"65-74";511
"2480";"5032";"75 og eldre";511
"2481";"5033";"0-15";109
"2482";"5033";"16-24";59
"2483";"5033";"25-34";73
"2484";"5033";"35-44";82
"2485";"5033";"45-54";72
"2486";"5033";"55-64";139
"2487";"5033";"65-74";115
"2488";"5033";"75 og eldre";124
"2489";"5034";"0-15";398
"2490";"5034";"16-24";215
"2491";"5034";"25-34";264
"2492";"5034";"35-44";267
"2493";"5034";"45-54";320
"2494";"5034";"55-64";353
"2495";"5034";"65-74";342
"2496";"5034";"75 og eldre";295
"2497";"5035";"0-15";4557
"2498";"5035";"16-24";2783
"2499";"5035";"25-34";2810
"2500";"5035";"35-44";3040
"2501";"5035";"45-54";3391
"2502";"5035";"55-64";3181
"2503";"5035";"65-74";2596
"2504";"5035";"75 og eldre";2359
"2505";"5036";"0-15";445
"2506";"5036";"16-24";267
"2507";"5036";"25-34";275
"2508";"5036";"35-44";292
"2509";"5036";"45-54";327
"2510";"5036";"55-64";385
"2511";"5036";"65-74";329
"2512";"5036";"75 og eldre";325
"2513";"5037";"0-15";3804
"2514";"5037";"16-24";2434
"2515";"5037";"25-34";2471
"2516";"5037";"35-44";2454
"2517";"5037";"45-54";2440
"2518";"5037";"55-64";2652
"2519";"5037";"65-74";2290
"2520";"5037";"75 og eldre";2029
"2521";"5038";"0-15";2597
"2522";"5038";"16-24";1663
"2523";"5038";"25-34";1863
"2524";"5038";"35-44";1738
"2525";"5038";"45-54";2006
"2526";"5038";"55-64";1948
"2527";"5038";"65-74";1801
"2528";"5038";"75 og eldre";1577
"2529";"5041";"0-15";360
"2530";"5041";"16-24";231
"2531";"5041";"25-34";215
"2532";"5041";"35-44";228
"2533";"5041";"45-54";226
"2534";"5041";"55-64";322
"2535";"5041";"65-74";254
"2536";"5041";"75 og eldre";278
"2537";"5042";"0-15";179
"2538";"5042";"16-24";154
"2539";"5042";"25-34";99
"2540";"5042";"35-44";125
"2541";"5042";"45-54";184
"2542";"5042";"55-64";184
"2543";"5042";"65-74";191
"2544";"5042";"75 og eldre";185
"2545";"5043";"0-15";62
"2546";"5043";"16-24";42
"2547";"5043";"25-34";36
"2548";"5043";"35-44";43
"2549";"5043";"45-54";49
"2550";"5043";"55-64";53
"2551";"5043";"65-74";77
"2552";"5043";"75 og eldre";61
"2553";"5044";"0-15";118
"2554";"5044";"16-24";74
"2555";"5044";"25-34";70
"2556";"5044";"35-44";79
"2557";"5044";"45-54";103
"2558";"5044";"55-64";135
"2559";"5044";"65-74";104
"2560";"5044";"75 og eldre";127
"2561";"5045";"0-15";410
"2562";"5045";"16-24";222
"2563";"5045";"25-34";229
"2564";"5045";"35-44";253
"2565";"5045";"45-54";279
"2566";"5045";"55-64";327
"2567";"5045";"65-74";303
"2568";"5045";"75 og eldre";299
"2569";"5046";"0-15";202
"2570";"5046";"16-24";156
"2571";"5046";"25-34";85
"2572";"5046";"35-44";127
"2573";"5046";"45-54";174
"2574";"5046";"55-64";147
"2575";"5046";"65-74";168
"2576";"5046";"75 og eldre";163
"2577";"5047";"0-15";826
"2578";"5047";"16-24";390
"2579";"5047";"25-34";485
"2580";"5047";"35-44";510
"2581";"5047";"45-54";475
"2582";"5047";"55-64";482
"2583";"5047";"65-74";417
"2584";"5047";"75 og eldre";339
"2585";"5049";"0-15";170
"2586";"5049";"16-24";93
"2587";"5049";"25-34";129
"2588";"5049";"35-44";115
"2589";"5049";"45-54";117
"2590";"5049";"55-64";172
"2591";"5049";"65-74";179
"2592";"5049";"75 og eldre";141
"2593";"5052";"0-15";98
"2594";"5052";"16-24";47
"2595";"5052";"25-34";68
"2596";"5052";"35-44";53
"2597";"5052";"45-54";64
"2598";"5052";"55-64";91
"2599";"5052";"65-74";90
"2600";"5052";"75 og eldre";93
"2601";"5053";"0-15";1274
"2602";"5053";"16-24";736
"2603";"5053";"25-34";728
"2604";"5053";"35-44";818
"2605";"5053";"45-54";825
"2606";"5053";"55-64";947
"2607";"5053";"65-74";868
"2608";"5053";"75 og eldre";742
"2609";"5054";"0-15";1693
"2610";"5054";"16-24";1076
"2611";"5054";"25-34";1012
"2612";"5054";"35-44";1031
"2613";"5054";"45-54";1359
"2614";"5054";"55-64";1373
"2615";"5054";"65-74";1246
"2616";"5054";"75 og eldre";1233
"2617";"5055";"0-15";1014
"2618";"5055";"16-24";629
"2619";"5055";"25-34";641
"2620";"5055";"35-44";673
"2621";"5055";"45-54";740
"2622";"5055";"55-64";833
"2623";"5055";"65-74";771
"2624";"5055";"75 og eldre";792
"2625";"5056";"0-15";863
"2626";"5056";"16-24";517
"2627";"5056";"25-34";756
"2628";"5056";"35-44";691
"2629";"5056";"45-54";714
"2630";"5056";"55-64";693
"2631";"5056";"65-74";537
"2632";"5056";"75 og eldre";552
"2633";"5057";"0-15";1902
"2634";"5057";"16-24";1084
"2635";"5057";"25-34";1400
"2636";"5057";"35-44";1169
"2637";"5057";"45-54";1226
"2638";"5057";"55-64";1414
"2639";"5057";"65-74";1182
"2640";"5057";"75 og eldre";1145
"2641";"5058";"0-15";722
"2642";"5058";"16-24";405
"2643";"5058";"25-34";552
"2644";"5058";"35-44";359
"2645";"5058";"45-54";554
"2646";"5058";"55-64";643
"2647";"5058";"65-74";565
"2648";"5058";"75 og eldre";539
"2649";"5059";"0-15";3276
"2650";"5059";"16-24";1898
"2651";"5059";"25-34";2116
"2652";"5059";"35-44";2362
"2653";"5059";"45-54";2311
"2654";"5059";"55-64";2559
"2655";"5059";"65-74";2266
"2656";"5059";"75 og eldre";2005
"2657";"5060";"0-15";1957
"2658";"5060";"16-24";1052
"2659";"5060";"25-34";1265
"2660";"5060";"35-44";1201
"2661";"5060";"45-54";1258
"2662";"5060";"55-64";1280
"2663";"5060";"65-74";1006
"2664";"5060";"75 og eldre";949
"2665";"5061";"0-15";320
"2666";"5061";"16-24";214
"2667";"5061";"25-34";185
"2668";"5061";"35-44";206
"2669";"5061";"45-54";249
"2670";"5061";"55-64";273
"2671";"5061";"65-74";243
"2672";"5061";"75 og eldre";268
"2673";"5501";"0-15";13181
"2674";"5501";"16-24";9232
"2675";"5501";"25-34";13772
"2676";"5501";"35-44";10822
"2677";"5501";"45-54";10329
"2678";"5501";"55-64";9291
"2679";"5501";"65-74";6836
"2680";"5501";"75 og eldre";5282
"2681";"5503";"0-15";4254
"2682";"5503";"16-24";2612
"2683";"5503";"25-34";3340
"2684";"5503";"35-44";3018
"2685";"5503";"45-54";3197
"2686";"5503";"55-64";3116
"2687";"5503";"65-74";2907
"2688";"5503";"75 og eldre";2612
"2689";"5510";"0-15";442
"2690";"5510";"16-24";280
"2691";"5510";"25-34";304
"2692";"5510";"35-44";308
"2693";"5510";"45-54";380
"2694";"5510";"55-64";413
"2695";"5510";"65-74";382
"2696";"5510";"75 og eldre";336
"2697";"5512";"0-15";641
"2698";"5512";"16-24";398
"2699";"5512";"25-34";437
"2700";"5512";"35-44";439
"2701";"5512";"45-54";539
"2702";"5512";"55-64";604
"2703";"5512";"65-74";632
"2704";"5512";"75 og eldre";591
"2705";"5514";"0-15";148
"2706";"5514";"16-24";125
"2707";"5514";"25-34";119
"2708";"5514";"35-44";123
"2709";"5514";"45-54";135
"2710";"5514";"55-64";224
"2711";"5514";"65-74";207
"2712";"5514";"75 og eldre";230
"2713";"5516";"0-15";146
"2714";"5516";"16-24";103
"2715";"5516";"25-34";99
"2716";"5516";"35-44";108
"2717";"5516";"45-54";147
"2718";"5516";"55-64";178
"2719";"5516";"65-74";138
